# Name of benchmark/experiment: FILLET Experiment 1 (warm start)
# Case number: 184
# Instellation (S_earth): 1.125
# XCO2 (ppm): 280.0
# Obliquity (degrees): 90.0
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -90.00   335.22 0.2250 0.2250   334.14 0.2500
 -77.83   333.64 0.2250 0.2250   330.99 0.2500
 -72.76   332.46 0.2250 0.2250   328.61 0.2500
 -68.84   331.34 0.2250 0.2250   326.38 0.2500
 -65.52   330.27 0.2250 0.2250   324.23 0.2500
 -62.58   329.22 0.2250 0.2250   322.14 0.2500
 -59.90   328.21 0.2250 0.2250   320.11 0.2500
 -57.43   327.22 0.2250 0.2250   318.14 0.2500
 -55.11   326.27 0.2250 0.2250   316.23 0.2500
 -52.92   325.33 0.2250 0.2250   314.37 0.2500
 -50.83   324.42 0.2250 0.2250   312.54 0.2500
 -48.83   323.53 0.2250 0.2250   310.76 0.2500
 -46.91   322.65 0.2250 0.2250   309.01 0.2500
 -45.06   321.80 0.2250 0.2250   307.29 0.2500
 -43.27   320.95 0.2250 0.2250   305.61 0.2500
 -41.52   320.13 0.2250 0.2250   303.95 0.2500
 -39.83   319.32 0.2250 0.2250   302.34 0.2500
 -38.17   318.53 0.2250 0.2250   300.75 0.2500
 -36.55   317.75 0.2250 0.2250   299.21 0.2500
 -34.96   317.00 0.2250 0.2250   297.70 0.2500
 -33.41   316.26 0.2250 0.2250   296.23 0.2500
 -31.88   315.55 0.2250 0.2250   294.80 0.2500
 -30.37   314.86 0.2250 0.2250   293.43 0.2500
 -28.89   314.20 0.2250 0.2250   292.10 0.2500
 -27.43   313.56 0.2250 0.2250   290.82 0.2500
 -25.99   312.95 0.2250 0.2250   289.59 0.2500
 -24.57   312.36 0.2250 0.2250   288.42 0.2500
 -23.16   311.80 0.2250 0.2250   287.30 0.2500
 -21.76   311.27 0.2250 0.2250   286.24 0.2500
 -20.38   310.76 0.2250 0.2250   285.22 0.2500
 -19.02   310.28 0.2250 0.2250   284.26 0.2500
 -17.66   309.83 0.2250 0.2250   283.36 0.2500
 -16.31   309.40 0.2250 0.2250   282.50 0.2500
 -14.98   309.00 0.2250 0.2250   281.71 0.2500
 -13.65   308.63 0.2250 0.2250   280.96 0.2500
 -12.33   308.29 0.2250 0.2250   280.28 0.2500
 -11.01   307.98 0.2250 0.2250   279.65 0.2500
  -9.70   307.69 0.2250 0.2250   279.08 0.2500
  -8.40   307.44 0.2250 0.2250   278.58 0.2500
  -7.10   307.22 0.2250 0.2250   278.14 0.2500
  -5.80   307.03 0.2250 0.2250   277.76 0.2500
  -4.51   306.88 0.2250 0.2250   277.45 0.2500
  -3.22   306.76 0.2250 0.2250   277.21 0.2500
  -1.93   306.68 0.2250 0.2250   277.05 0.2500
  -0.64   306.64 0.2250 0.2250   276.97 0.2500
   0.64   306.64 0.2250 0.2250   276.97 0.2500
   1.93   306.68 0.2250 0.2250   277.05 0.2500
   3.22   306.76 0.2250 0.2250   277.21 0.2500
   4.51   306.88 0.2250 0.2250   277.45 0.2500
   5.80   307.03 0.2250 0.2250   277.76 0.2500
   7.10   307.22 0.2250 0.2250   278.14 0.2500
   8.40   307.44 0.2250 0.2250   278.58 0.2500
   9.70   307.69 0.2250 0.2250   279.08 0.2500
  11.01   307.98 0.2250 0.2250   279.65 0.2500
  12.33   308.29 0.2250 0.2250   280.28 0.2500
  13.65   308.63 0.2250 0.2250   280.96 0.2500
  14.98   309.00 0.2250 0.2250   281.71 0.2500
  16.31   309.40 0.2250 0.2250   282.50 0.2500
  17.66   309.83 0.2250 0.2250   283.36 0.2500
  19.02   310.28 0.2250 0.2250   284.26 0.2500
  20.38   310.76 0.2250 0.2250   285.22 0.2500
  21.76   311.27 0.2250 0.2250   286.24 0.2500
  23.16   311.80 0.2250 0.2250   287.30 0.2500
  24.57   312.36 0.2250 0.2250   288.42 0.2500
  25.99   312.95 0.2250 0.2250   289.59 0.2500
  27.43   313.56 0.2250 0.2250   290.82 0.2500
  28.89   314.20 0.2250 0.2250   292.10 0.2500
  30.37   314.86 0.2250 0.2250   293.43 0.2500
  31.88   315.55 0.2250 0.2250   294.80 0.2500
  33.41   316.26 0.2250 0.2250   296.23 0.2500
  34.96   317.00 0.2250 0.2250   297.70 0.2500
  36.55   317.75 0.2250 0.2250   299.21 0.2500
  38.17   318.53 0.2250 0.2250   300.75 0.2500
  39.83   319.32 0.2250 0.2250   302.34 0.2500
  41.52   320.13 0.2250 0.2250   303.95 0.2500
  43.27   320.95 0.2250 0.2250   305.61 0.2500
  45.06   321.80 0.2250 0.2250   307.29 0.2500
  46.91   322.65 0.2250 0.2250   309.01 0.2500
  48.83   323.53 0.2250 0.2250   310.76 0.2500
  50.83   324.42 0.2250 0.2250   312.54 0.2500
  52.92   325.33 0.2250 0.2250   314.37 0.2500
  55.11   326.27 0.2250 0.2250   316.23 0.2500
  57.43   327.22 0.2250 0.2250   318.14 0.2500
  59.90   328.21 0.2250 0.2250   320.11 0.2500
  62.58   329.22 0.2250 0.2250   322.14 0.2500
  65.52   330.27 0.2250 0.2250   324.23 0.2500
  68.84   331.34 0.2250 0.2250   326.38 0.2500
  72.76   332.46 0.2250 0.2250   328.61 0.2500
  77.83   333.64 0.2250 0.2250   330.99 0.2500
  90.00   335.22 0.2250 0.2250   334.14 0.2500
