# Name of benchmark/experiment: FILLET Experiment 1a (warm start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
50 0.9518143961927424 20.0 280.0 232.92550561664999 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 129.55101123330002
51 0.9290172739149366 20.0 280.0 231.3740400040813 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 126.44808000816269
52 0.9070294784580498 20.0 280.0 229.87764775870602 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 123.45529551741205
53 0.8858131487889274 20.0 280.0 228.43379258999397 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.56758517998797
54 0.8653326122228233 20.0 280.0 227.04005016328242 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.78010032656492
55 0.8455542343770645 20.0 280.0 225.69405901518815 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.08811803037636
56 0.8264462809917354 20.0 280.0 224.3936744215265 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.48734884305306
57 1.306122448979592 30.0 280.0 340.36252931053167 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.42505862106344
58 1.2695893671890497 30.0 280.0 335.545682537834 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.79136507566807
59 1.2345679012345678 30.0 280.0 330.9280595441586 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 325.55611908831725
60 1.2009757928316758 30.0 280.0 326.49890598652286 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.6978119730457
61 1.168736303871439 30.0 280.0 322.2481080772169 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.19621615443384
62 1.1377777777777778 30.0 280.0 318.1662234369569 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 300.03244687391384
63 1.10803324099723 30.0 280.0 314.2444289587098 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 292.18885791741974
64 1.0794400404790014 30.0 280.0 310.4743996012971 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 284.6487992025942
65 1.0519395134779752 30.0 280.0 306.84837805840993 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 277.3967561168199
66 1.0254766864284568 30.0 280.0 303.35949156993007 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 270.4189831398602
67 1.0 30.0 280.0 300.0009692254743 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.70193845094866
68 0.9754610577655846 30.0 280.0 296.432407902415 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 256.56481580483
69 0.9518143961927424 30.0 280.0 232.92325530116355 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 129.54651060232712
70 0.9290172739149366 30.0 280.0 231.3718781680279 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 126.44375633605584
71 0.9070294784580498 30.0 280.0 229.87548443723236 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 123.45096887446475
72 0.8858131487889274 30.0 280.0 228.4317114024567 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.56342280491339
73 0.8653326122228233 30.0 280.0 227.03798676331897 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.77597352663793
74 0.8455542343770645 30.0 280.0 225.6919730911148 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.08394618222964
75 0.8264462809917354 30.0 280.0 224.39165350760982 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.48330701521972
76 1.306122448979592 40.0 280.0 340.3637028630578 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.4274057261157
77 1.2695893671890497 40.0 280.0 335.5468232653441 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.7936465306881
78 1.2345679012345678 40.0 280.0 330.92916880157355 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 325.55833760314715
79 1.2009757928316758 40.0 280.0 326.4999850575701 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.6999701151402
80 1.168736303871439 40.0 280.0 322.24915817655943 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.19831635311886
81 1.1377777777777778 40.0 280.0 318.167245714736 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 300.03449142947204
82 1.10803324099723 40.0 280.0 314.245424504725 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 292.19084900945006
83 1.0794400404790014 40.0 280.0 310.47536943897927 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 284.6507388779586
84 1.0519395134779752 40.0 280.0 306.8493231215906 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 277.39864624318125
85 1.0254766864284568 40.0 280.0 303.3604120662206 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 270.4208241324413
86 1.0 40.0 280.0 300.00186762616045 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.70373525232094
87 0.9754610577655846 40.0 280.0 296.7664070345026 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 257.2328140690053
88 0.9518143961927424 40.0 280.0 293.64855311185676 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 250.99710622371356
89 0.9290172739149366 40.0 280.0 290.6427482817419 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 244.98549656348388
90 0.9070294784580498 40.0 280.0 229.87593553418918 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 123.45187106837837
91 0.8858131487889274 40.0 280.0 228.4321128665443 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.56422573308862
92 0.8653326122228233 40.0 280.0 227.03835285654975 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.77670571309955
93 0.8455542343770645 40.0 280.0 225.6923791197453 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.08475823949074
94 0.8264462809917354 40.0 280.0 224.39204134895084 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.48408269790174
95 1.306122448979592 50.0 280.0 340.3632927708767 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.4265855417534
96 1.2695893671890497 50.0 280.0 335.546424643704 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.792849287408
97 1.2345679012345678 50.0 280.0 330.9287811770033 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 325.5575623540066
98 1.2009757928316758 50.0 280.0 326.4996079814773 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.6992159629547
99 1.168736303871439 50.0 280.0 322.24879122448596 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.19758244897196
100 1.1377777777777778 50.0 280.0 318.1668884847704 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 300.03377696954095
101 1.10803324099723 50.0 280.0 314.245076616042 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 292.190153232084
102 1.0794400404790014 50.0 280.0 310.47503053394354 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 284.6500610678871
