# Name of benchmark/experiment: FILLET Experiment 3 (instellation bifurcation)
# Case number: 64
# Branch: warming
# Instellation (S_earth): 0.8875
# XCO2 (ppm): 280.0
# Obliquity (degrees): 23.5
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -90.00   215.08 0.6000 0.6000    93.86 0.2500
 -77.83   216.61 0.6000 0.6000    96.93 0.2500
 -72.76   217.63 0.6000 0.6000    98.96 0.2500
 -68.84   218.54 0.6000 0.6000   100.78 0.2500
 -65.52   219.39 0.6000 0.6000   102.49 0.2500
 -62.58   220.21 0.6000 0.6000   104.12 0.2500
 -59.90   220.99 0.6000 0.6000   105.68 0.2500
 -57.43   221.74 0.6000 0.6000   107.18 0.2500
 -55.11   222.46 0.6000 0.6000   108.62 0.2500
 -52.92   223.15 0.6000 0.6000   110.00 0.2500
 -50.83   223.81 0.6000 0.6000   111.33 0.2500
 -48.83   224.45 0.6000 0.6000   112.60 0.2500
 -46.91   225.06 0.6000 0.6000   113.82 0.2500
 -45.06   225.65 0.6000 0.6000   115.00 0.2500
 -43.27   226.21 0.6000 0.6000   116.12 0.2500
 -41.52   226.75 0.6000 0.6000   117.19 0.2500
 -39.83   227.26 0.6000 0.6000   118.23 0.2500
 -38.17   227.76 0.6000 0.6000   119.21 0.2500
 -36.55   228.23 0.6000 0.6000   120.16 0.2500
 -34.96   228.68 0.6000 0.6000   121.06 0.2500
 -33.41   229.11 0.6000 0.6000   121.92 0.2500
 -31.88   229.52 0.6000 0.6000   122.74 0.2500
 -30.37   229.91 0.6000 0.6000   123.52 0.2500
 -28.89   230.28 0.6000 0.6000   124.26 0.2500
 -27.43   230.63 0.6000 0.6000   124.96 0.2500
 -25.99   230.97 0.6000 0.6000   125.63 0.2500
 -24.57   231.28 0.6000 0.6000   126.26 0.2500
 -23.16   231.58 0.6000 0.6000   126.85 0.2500
 -21.76   231.86 0.6000 0.6000   127.41 0.2500
 -20.38   232.12 0.6000 0.6000   127.94 0.2500
 -19.02   232.36 0.6000 0.6000   128.43 0.2500
 -17.66   232.59 0.6000 0.6000   128.88 0.2500
 -16.31   232.80 0.6000 0.6000   129.30 0.2500
 -14.98   232.99 0.6000 0.6000   129.69 0.2500
 -13.65   233.17 0.6000 0.6000   130.04 0.2500
 -12.33   233.33 0.6000 0.6000   130.36 0.2500
 -11.01   233.47 0.6000 0.6000   130.65 0.2500
  -9.70   233.60 0.6000 0.6000   130.91 0.2500
  -8.40   233.71 0.6000 0.6000   131.13 0.2500
  -7.10   233.81 0.6000 0.6000   131.32 0.2500
  -5.80   233.89 0.6000 0.6000   131.48 0.2500
  -4.51   233.95 0.6000 0.6000   131.61 0.2500
  -3.22   234.00 0.6000 0.6000   131.70 0.2500
  -1.93   234.03 0.6000 0.6000   131.76 0.2500
  -0.64   234.05 0.6000 0.6000   131.80 0.2500
   0.64   234.05 0.6000 0.6000   131.80 0.2500
   1.93   234.03 0.6000 0.6000   131.76 0.2500
   3.22   234.00 0.6000 0.6000   131.70 0.2500
   4.51   233.95 0.6000 0.6000   131.61 0.2500
   5.80   233.89 0.6000 0.6000   131.48 0.2500
   7.10   233.81 0.6000 0.6000   131.32 0.2500
   8.40   233.71 0.6000 0.6000   131.13 0.2500
   9.70   233.60 0.6000 0.6000   130.91 0.2500
  11.01   233.47 0.6000 0.6000   130.65 0.2500
  12.33   233.33 0.6000 0.6000   130.36 0.2500
  13.65   233.17 0.6000 0.6000   130.04 0.2500
  14.98   232.99 0.6000 0.6000   129.69 0.2500
  16.31   232.80 0.6000 0.6000   129.30 0.2500
  17.66   232.59 0.6000 0.6000   128.88 0.2500
  19.02   232.36 0.6000 0.6000   128.43 0.2500
  20.38   232.12 0.6000 0.6000   127.94 0.2500
  21.76   231.86 0.6000 0.6000   127.41 0.2500
  23.16   231.58 0.6000 0.6000   126.85 0.2500
  24.57   231.28 0.6000 0.6000   126.26 0.2500
  25.99   230.97 0.6000 0.6000   125.63 0.2500
  27.43   230.63 0.6000 0.6000   124.96 0.2500
  28.89   230.28 0.6000 0.6000   124.26 0.2500
  30.37   229.91 0.6000 0.6000   123.52 0.2500
  31.88   229.52 0.6000 0.6000   122.74 0.2500
  33.41   229.11 0.6000 0.6000   121.92 0.2500
  34.96   228.68 0.6000 0.6000   121.06 0.2500
  36.55   228.23 0.6000 0.6000   120.16 0.2500
  38.17   227.76 0.6000 0.6000   119.21 0.2500
  39.83   227.26 0.6000 0.6000   118.23 0.2500
  41.52   226.75 0.6000 0.6000   117.19 0.2500
  43.27   226.21 0.6000 0.6000   116.12 0.2500
  45.06   225.65 0.6000 0.6000   115.00 0.2500
  46.91   225.06 0.6000 0.6000   113.82 0.2500
  48.83   224.45 0.6000 0.6000   112.60 0.2500
  50.83   223.81 0.6000 0.6000   111.33 0.2500
  52.92   223.15 0.6000 0.6000   110.00 0.2500
  55.11   222.46 0.6000 0.6000   108.62 0.2500
  57.43   221.74 0.6000 0.6000   107.18 0.2500
  59.90   220.99 0.6000 0.6000   105.68 0.2500
  62.58   220.21 0.6000 0.6000   104.12 0.2500
  65.52   219.39 0.6000 0.6000   102.49 0.2500
  68.84   218.54 0.6000 0.6000   100.78 0.2500
  72.76   217.63 0.6000 0.6000    98.96 0.2500
  77.83   216.62 0.6000 0.6000    96.93 0.2500
  90.00   215.08 0.6000 0.6000    93.86 0.2500
