# Name of benchmark/experiment: FILLET Experiment 3 (instellation bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
39 1.0125 23.5 280.0 299.62150078279575 90.0 75.16488841802426 90.0 75.16488841802426 -75.16488841802426 -90.0 -75.16488841802426 -90.0 0.5 262.94300156559154 cooling
40 1.0 23.5 280.0 296.2877297271707 90.0 64.15806723683288 90.0 64.15806723683288 -64.15806723683288 -90.0 -64.15806723683288 -90.0 0.5 256.27545945434133 cooling
41 0.9874999999999999 23.5 280.0 291.7817216399038 90.0 58.821164461344075 90.0 58.821164461344075 -58.821164461344075 -90.0 -58.821164461344075 -90.0 0.5 247.26344327980766 cooling
42 0.975 23.5 280.0 286.9442219103404 90.0 50.055494810185124 90.0 50.055494810185124 -50.055494810185124 -90.0 -50.055494810185124 -90.0 0.5 237.58844382068088 cooling
43 0.9625 23.5 280.0 280.6001913949434 90.0 42.670233871257594 90.0 42.670233871257594 -42.670233871257594 -90.0 -42.670233871257594 -90.0 0.5 224.9003827898869 cooling
44 0.9500000000000001 23.5 280.0 232.8027307219363 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 129.30546144387264 cooling
45 0.9375 23.5 280.0 231.95202663364526 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 127.6040532672906 cooling
46 0.9249999999999999 23.5 280.0 231.10133889636614 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 125.90267779273233 cooling
47 0.9125 23.5 280.0 230.25065116767377 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 124.20130233534752 cooling
48 0.9 23.5 280.0 229.39996343898588 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 122.49992687797175 cooling
49 0.8875000000000001 23.5 280.0 228.549275710298 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.79855142059597 cooling
50 0.875 23.5 280.0 227.6985879816101 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 119.09717596322025 cooling
51 0.8624999999999999 23.5 280.0 226.84790025292224 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.39580050584453 cooling
52 0.85 23.5 280.0 225.99721252423436 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.69442504846872 cooling
53 0.8375 23.5 280.0 225.14652479554647 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 113.99304959109303 cooling
54 0.8250000000000001 23.5 280.0 224.2958370668586 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.29167413371724 cooling
55 0.8125 23.5 280.0 223.44514933817072 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 110.59029867634149 cooling
56 0.7999999999999999 23.5 280.0 222.59446160948283 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.88892321896573 cooling
57 0.7999999999999999 23.5 280.0 222.59437367376276 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.88874734752557 warming
58 0.8125 23.5 280.0 223.44425581452862 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 110.5885116290573 warming
59 0.8250000000000001 23.5 280.0 224.29494312016197 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.28988624032397 warming
60 0.8375 23.5 280.0 225.14563084862766 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 113.99126169725538 warming
61 0.85 23.5 280.0 225.9963185773154 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.6926371546309 warming
62 0.8624999999999999 23.5 280.0 226.84700630600332 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.39401261200663 warming
63 0.875 23.5 280.0 227.6976940346912 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 119.09538806938241 warming
64 0.8875000000000001 23.5 280.0 228.54838176337904 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.79676352675811 warming
65 0.9 23.5 280.0 229.39906949206696 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 122.49813898413393 warming
66 0.9125 23.5 280.0 230.24975722075482 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 124.19951444150966 warming
67 0.9249999999999999 23.5 280.0 231.1004449494427 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 125.90088989888544 warming
68 0.9375 23.5 280.0 231.95113267813056 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 127.60226535626119 warming
69 0.9500000000000001 23.5 280.0 232.80182040681845 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 129.30364081363695 warming
70 0.9625 23.5 280.0 233.65250813550634 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 131.0050162710127 warming
71 0.975 23.5 280.0 234.5031958641942 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 132.70639172838844 warming
72 0.9874999999999999 23.5 280.0 235.35388359288208 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 134.40776718576416 warming
73 1.0 23.5 280.0 236.20465477568567 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10930955137138 warming
74 1.0125 23.5 280.0 237.05534253981025 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 137.81068507962055 warming
75 1.025 23.5 280.0 237.90603026830834 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 139.51206053661676 warming
76 1.0375 23.5 280.0 238.75671799679122 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 141.2134359935825 warming
77 1.05 23.5 280.0 239.60740572527408 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.91481145054826 warming
78 1.0625 23.5 280.0 240.45809345375696 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 144.616186907514 warming
79 1.075 23.5 280.0 241.30878118223984 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.31756236447976 warming
80 1.0875 23.5 280.0 242.15946891072272 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 148.01893782144546 warming
81 1.1 23.5 280.0 243.01015663920558 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.72031327841125 warming
82 1.1125 23.5 280.0 243.86084436768843 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 151.42168873537693 warming
83 1.125 23.5 280.0 244.71153209617134 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.12306419234267 warming
84 1.1375 23.5 280.0 245.56221982465422 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.8244396493084 warming
85 1.15 23.5 280.0 246.41290755313707 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.52581510627417 warming
86 1.1625 23.5 280.0 247.26359528161993 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 158.2271905632399 warming
87 1.175 23.5 280.0 248.1142830101028 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92856602020566 warming
88 1.1875 23.5 280.0 248.96497073858566 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 161.62994147717134 warming
89 1.2 23.5 280.0 249.81565846706854 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.33131693413713 warming
90 1.2125 23.5 280.0 250.66634619555143 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 165.0326923911029 warming
91 1.225 23.5 280.0 251.51703392403428 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.73406784806863 warming
92 1.2375 23.5 280.0 252.36772165251716 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.43544330503437 warming
93 1.25 23.5 280.0 253.21840938100004 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.1368187620001 warming
94 1.2625 23.5 280.0 254.06909710948293 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 171.8381942189658 warming
95 1.275 23.5 280.0 254.91978483796578 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53956967593157 warming
96 1.2875 23.5 280.0 255.77047256644863 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 175.24094513289734 warming
97 1.3 23.5 280.0 256.6211602949315 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.94232058986307 warming
98 1.3125 23.5 280.0 257.4718480234144 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 178.6436960468288 warming
