# Name of benchmark/experiment: FILLET Experiment 2a (cold start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
39 1.2009757928316758 20.0 280.0 249.88112662951588 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.46225325903177
40 1.168736303871439 20.0 280.0 247.68703757953526 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.0740751590706
41 1.1377777777777778 20.0 280.0 245.58021783957284 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.86043567914575
42 1.10803324099723 20.0 280.0 243.556013681542 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.81202736308396
43 1.0794400404790014 20.0 280.0 241.61007987725904 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.92015975451807
44 1.0519395134779752 20.0 280.0 239.7385955188588 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17719103771765
45 1.5624999999999996 30.0 280.0 374.16608777098406 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.0321755419681
46 1.5147928994082842 30.0 280.0 367.8759004312024 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.4518008624048
47 1.4692378328741966 30.0 280.0 361.86940501469957 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.4388100293992
48 1.4257072844731566 30.0 280.0 265.1716724963985 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 194.0433449927971
49 1.384083044982699 30.0 280.0 262.33909269497764 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 188.37818538995532
50 1.3442554085276202 30.0 280.0 259.6286872754027 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 182.95737455080547
51 1.306122448979592 30.0 280.0 257.0336994557222 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.76739891144456
52 1.2695893671890497 30.0 280.0 254.5475849923944 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.79516998478888
53 1.2345679012345678 30.0 280.0 252.1642528475304 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.02850569506086
54 1.2009757928316758 30.0 280.0 249.8782813772993 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.45656275459862
55 1.168736303871439 30.0 280.0 247.6842687164687 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.0685374329374
56 1.1377777777777778 30.0 280.0 245.57752232061242 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.85504464122488
57 1.10803324099723 30.0 280.0 243.5533886306153 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.80677726123068
58 1.0794400404790014 30.0 280.0 241.6075225781135 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.91504515622708
59 1.0519395134779752 30.0 280.0 239.73610337115434 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17220674230876
60 1.5624999999999996 40.0 280.0 374.1674611652701 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.03492233054027
61 1.5147928994082842 40.0 280.0 367.87723265510476 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.4544653102095
62 1.4692378328741966 40.0 280.0 361.87078262488507 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.44156524977024
63 1.4257072844731566 40.0 280.0 265.17233365908623 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 194.0446673181725
64 1.384083044982699 40.0 280.0 262.33973455468896 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 188.37946910937796
65 1.3442554085276202 40.0 280.0 259.6293106638075 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 182.958621327615
66 1.306122448979592 40.0 280.0 257.03430516025185 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.7686103205038
67 1.2695893671890497 40.0 280.0 254.54817375498024 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.79634750996055
68 1.2345679012345678 40.0 280.0 252.16482536748651 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.02965073497305
69 1.2009757928316758 40.0 280.0 249.87883831921192 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.45767663842392
70 1.168736303871439 40.0 280.0 247.68481070564005 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.06962141128014
71 1.1377777777777778 40.0 280.0 245.57804995309283 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.8560999061857
72 1.10803324099723 40.0 280.0 243.55390246937955 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.80780493875915
73 1.0794400404790014 40.0 280.0 241.6080231548522 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.91604630970446
74 1.0519395134779752 40.0 280.0 239.73659119486962 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17318238973928
75 1.5624999999999996 50.0 280.0 374.1669823270569 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.03396465411384
76 1.5147928994082842 50.0 280.0 367.87674338037453 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.45348676074894
77 1.4692378328741966 50.0 280.0 268.13442217840117 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 199.96884435680238
78 1.4257072844731566 50.0 280.0 265.1721026190243 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 194.04420523804868
79 1.384083044982699 50.0 280.0 262.3395102599576 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 188.37902051991526
80 1.3442554085276202 50.0 280.0 259.6290928237833 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 182.95818564756672
81 1.306122448979592 50.0 280.0 257.03409349977125 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.76818699954254
82 1.2695893671890497 50.0 280.0 254.5479680147789 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.79593602955788
83 1.2345679012345678 50.0 280.0 252.1646253031922 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.0292506063844
84 1.2009757928316758 50.0 280.0 249.8786436985886 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.45728739717723
85 1.168736303871439 50.0 280.0 247.6846213101785 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.06924262035702
86 1.1377777777777778 50.0 280.0 245.5778655745066 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.85573114901325
87 1.10803324099723 50.0 280.0 243.55372291093988 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.80744582187987
88 1.0794400404790014 50.0 280.0 241.6078482307619 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.91569646152385
89 1.0519395134779752 50.0 280.0 239.73642072726093 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17284145452192
90 1.5624999999999996 60.0 280.0 374.1668135147122 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.03362702942434
91 1.5147928994082842 60.0 280.0 367.87655476328337 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.4531095265668
92 1.4692378328741966 60.0 280.0 361.8700684321102 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.44013686422034
