# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Case number: 69
# Instellation (S_earth): 1.35
# XCO2 (ppm): 280.0
# Obliquity (degrees): 30.0
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -81.45   246.29 0.6000 0.6000   156.28 0.2500
 -75.16   247.13 0.6000 0.6000   157.96 0.2500
 -70.81   247.98 0.6000 0.6000   159.66 0.2500
 -67.25   248.83 0.6000 0.6000   161.36 0.2500
 -64.16   249.67 0.6000 0.6000   163.04 0.2500
 -61.38   250.51 0.6000 0.6000   164.72 0.2500
 -58.82   251.34 0.6000 0.6000   166.38 0.2500
 -56.44   252.16 0.6000 0.6000   168.01 0.2500
 -54.20   252.96 0.6000 0.6000   169.62 0.2500
 -52.08   253.74 0.6000 0.6000   171.18 0.2500
 -50.06   254.50 0.6000 0.6000   172.71 0.2500
 -48.11   255.25 0.6000 0.6000   174.19 0.2500
 -46.24   255.97 0.6000 0.6000   175.63 0.2500
 -44.43   256.66 0.6000 0.6000   177.03 0.2500
 -42.67   257.34 0.6000 0.6000   178.37 0.2500
 -40.96   257.99 0.6000 0.6000   179.67 0.2500
 -39.30   258.61 0.6000 0.6000   180.93 0.2500
 -37.67   259.22 0.6000 0.6000   182.13 0.2500
 -36.08   259.80 0.6000 0.6000   183.29 0.2500
 -34.52   260.35 0.6000 0.6000   184.41 0.2500
 -32.99   260.89 0.6000 0.6000   185.47 0.2500
 -31.48   261.40 0.6000 0.6000   186.49 0.2500
 -30.00   261.88 0.6000 0.6000   187.46 0.2500
 -28.54   262.35 0.6000 0.6000   188.39 0.2500
 -27.10   262.79 0.6000 0.6000   189.28 0.2500
 -25.68   263.21 0.6000 0.6000   190.12 0.2500
 -24.27   263.61 0.6000 0.6000   190.91 0.2500
 -22.89   263.98 0.6000 0.6000   191.66 0.2500
 -21.51   264.33 0.6000 0.6000   192.37 0.2500
 -20.15   264.67 0.6000 0.6000   193.03 0.2500
 -18.80   264.98 0.6000 0.6000   193.65 0.2500
 -17.46   265.27 0.6000 0.6000   194.23 0.2500
 -16.13   265.53 0.6000 0.6000   194.77 0.2500
 -14.81   265.78 0.6000 0.6000   195.26 0.2500
 -13.49   266.01 0.6000 0.6000   195.71 0.2500
 -12.19   266.21 0.6000 0.6000   196.12 0.2500
 -10.89   266.40 0.6000 0.6000   196.49 0.2500
  -9.59   266.56 0.6000 0.6000   196.82 0.2500
  -8.31   266.70 0.6000 0.6000   197.10 0.2500
  -7.02   266.82 0.6000 0.6000   197.35 0.2500
  -5.74   266.93 0.6000 0.6000   197.55 0.2500
  -4.46   267.01 0.6000 0.6000   197.72 0.2500
  -3.18   267.07 0.6000 0.6000   197.84 0.2500
  -1.91   267.11 0.6000 0.6000   197.92 0.2500
  -0.64   267.13 0.6000 0.6000   197.96 0.2500
   0.64   267.13 0.6000 0.6000   197.96 0.2500
   1.91   267.11 0.6000 0.6000   197.92 0.2500
   3.18   267.07 0.6000 0.6000   197.84 0.2500
   4.46   267.01 0.6000 0.6000   197.72 0.2500
   5.74   266.93 0.6000 0.6000   197.55 0.2500
   7.02   266.82 0.6000 0.6000   197.35 0.2500
   8.31   266.70 0.6000 0.6000   197.10 0.2500
   9.59   266.56 0.6000 0.6000   196.82 0.2500
  10.89   266.40 0.6000 0.6000   196.49 0.2500
  12.19   266.21 0.6000 0.6000   196.12 0.2500
  13.49   266.01 0.6000 0.6000   195.71 0.2500
  14.81   265.78 0.6000 0.6000   195.26 0.2500
  16.13   265.53 0.6000 0.6000   194.77 0.2500
  17.46   265.27 0.6000 0.6000   194.23 0.2500
  18.80   264.98 0.6000 0.6000   193.65 0.2500
  20.15   264.67 0.6000 0.6000   193.03 0.2500
  21.51   264.33 0.6000 0.6000   192.37 0.2500
  22.89   263.98 0.6000 0.6000   191.66 0.2500
  24.27   263.61 0.6000 0.6000   190.91 0.2500
  25.68   263.21 0.6000 0.6000   190.12 0.2500
  27.10   262.79 0.6000 0.6000   189.28 0.2500
  28.54   262.35 0.6000 0.6000   188.39 0.2500
  30.00   261.88 0.6000 0.6000   187.46 0.2500
  31.48   261.40 0.6000 0.6000   186.49 0.2500
  32.99   260.89 0.6000 0.6000   185.47 0.2500
  34.52   260.35 0.6000 0.6000   184.41 0.2500
  36.08   259.80 0.6000 0.6000   183.29 0.2500
  37.67   259.22 0.6000 0.6000   182.13 0.2500
  39.30   258.61 0.6000 0.6000   180.93 0.2500
  40.96   257.99 0.6000 0.6000   179.67 0.2500
  42.67   257.34 0.6000 0.6000   178.37 0.2500
  44.43   256.66 0.6000 0.6000   177.03 0.2500
  46.24   255.97 0.6000 0.6000   175.63 0.2500
  48.11   255.25 0.6000 0.6000   174.19 0.2500
  50.06   254.50 0.6000 0.6000   172.71 0.2500
  52.08   253.74 0.6000 0.6000   171.18 0.2500
  54.20   252.96 0.6000 0.6000   169.62 0.2500
  56.44   252.16 0.6000 0.6000   168.01 0.2500
  58.82   251.34 0.6000 0.6000   166.38 0.2500
  61.38   250.51 0.6000 0.6000   164.72 0.2500
  64.16   249.67 0.6000 0.6000   163.04 0.2500
  67.25   248.83 0.6000 0.6000   161.36 0.2500
  70.81   247.98 0.6000 0.6000   159.66 0.2500
  75.16   247.13 0.6000 0.6000   157.96 0.2500
  81.45   246.29 0.6000 0.6000   156.28 0.2500
