# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
42 1.15 20.0 280.0 246.41197639830014 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.52395279660035
43 1.175 20.0 280.0 248.11339035450476 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92678070900962
44 1.2 20.0 280.0 249.81472078786837 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.3294415757368
45 1.225 20.0 280.0 251.51605122123198 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.73210244246397
46 1.25 20.0 280.0 253.21738165459556 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.13476330919116
47 1.275 20.0 280.0 254.91880485284238 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.5376097056848
48 1.3 20.0 280.0 256.6201402541259 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.9402805082518
49 1.325 20.0 280.0 258.32147565540936 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.3429513108187
50 1.35 20.0 280.0 260.0228110566928 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.74562211338562
51 1.375 20.0 280.0 261.72423806011057 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 187.14847612022112
52 1.4 20.0 280.0 263.4255775015747 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 190.5511550031494
53 1.425 20.0 280.0 356.04322710167787 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.7864542033559
54 1.45 20.0 280.0 359.33954226887 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.37908453773997
55 1.475 20.0 280.0 362.6359103586762 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.9718207173525
56 1.5 20.0 280.0 365.93231401779605 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.56462803559214
57 1.05 30.0 280.0 239.60402956379875 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.9080591275975
58 1.075 30.0 280.0 241.30537647626718 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.3107529525344
59 1.1 30.0 280.0 243.00663406206664 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.71326812413332
60 1.125 30.0 280.0 244.7079868266117 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.11597365322342
61 1.15 30.0 280.0 246.40925192356963 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.5185038471393
62 1.175 30.0 280.0 248.11060664198163 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.9212132839633
63 1.2 30.0 280.0 249.8118778474192 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.32375569483844
64 1.225 30.0 280.0 251.51314905285676 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.72629810571362
65 1.25 30.0 280.0 253.21442025829433 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.12884051658867
66 1.275 30.0 280.0 254.9157842197189 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53156843943782
67 1.3 30.0 280.0 256.6170603929019 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.93412078580383
68 1.325 30.0 280.0 258.3183365660849 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.33667313216984
69 1.35 30.0 280.0 260.0196127392679 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.7392254785359
70 1.375 30.0 280.0 261.7209805067829 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 187.14196101356578
71 1.4 30.0 280.0 263.42226072000466 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 190.54452144000942
72 1.425 30.0 280.0 265.1235409332265 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 193.947081866453
73 1.45 30.0 280.0 359.33288473906435 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.3657694781288
74 1.475 30.0 280.0 362.62912879925466 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.95825759850936
75 1.5 30.0 280.0 365.92546091852034 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.5509218370408
76 1.05 40.0 280.0 239.60451648542232 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.90903297084475
77 1.075 40.0 280.0 241.30587499399297 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.31174998798596
78 1.1 40.0 280.0 243.00714417322789 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.71428834645585
79 1.125 40.0 280.0 244.70850853353204 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.11701706706413
80 1.15 40.0 280.0 246.40978522397708 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.5195704479542
81 1.175 40.0 280.0 248.11115153784985 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92230307569974
82 1.2 40.0 280.0 249.81243433681655 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.32486867363315
83 1.225 40.0 280.0 251.51371713578322 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.72743427156647
84 1.25 40.0 280.0 253.21499993474987 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.12999986949984
85 1.275 40.0 280.0 254.91637549144528 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53275098289058
86 1.3 40.0 280.0 256.61766325819156 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.93532651638316
87 1.325 40.0 280.0 258.3189510249378 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.33790204987568
88 1.35 40.0 280.0 260.02023879168405 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.7404775833682
89 1.375 40.0 280.0 261.72161815428984 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 187.14323630857967
90 1.4 40.0 280.0 263.4229099611027 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 190.54581992220534
91 1.425 40.0 280.0 265.1242017679155 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 193.94840353583103
92 1.45 40.0 280.0 266.8254935747284 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 197.3509871494568
93 1.475 40.0 280.0 362.63053111833074 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.96106223666146
94 1.5 40.0 280.0 365.9268016120425 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.5536032240849
95 1.05 50.0 280.0 239.6043463330446 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.90869266608928
96 1.075 50.0 280.0 241.30570078941466 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.3114015788294
97 1.1 50.0 280.0 243.00696591738037 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.71393183476073
98 1.125 50.0 280.0 244.70832622560374 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.11665245120756
99 1.15 50.0 280.0 246.4095988647615 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.51919772952309
100 1.175 50.0 280.0 248.11096112665774 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92192225331553
101 1.2 50.0 280.0 249.81223987432247 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.32447974864496
102 1.225 50.0 280.0 251.51351862198717 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.7270372439744
103 1.25 50.0 280.0 253.2147973696519 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.1295947393038
104 1.275 50.0 280.0 254.91616887443706 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53233774887417
105 1.3 50.0 280.0 256.61745258986946 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.93490517973893
106 1.325 50.0 280.0 258.31873630530185 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.3374726106037
107 1.35 50.0 280.0 260.0200200207342 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.7400400414684
108 1.375 50.0 280.0 261.7213953314926 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 187.14279066298525
109 1.4 50.0 280.0 263.42268308698186 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 190.54536617396374
110 1.425 50.0 280.0 265.1239708424711 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 193.94794168494226
111 1.45 50.0 280.0 266.8252585979604 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 197.35051719592084
112 1.475 50.0 280.0 268.52654635344965 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 200.75309270689934
113 1.5 50.0 280.0 365.9263495398686 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.5526990797373
114 1.05 60.0 280.0 239.60426934912783 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.90853869825574
115 1.075 60.0 280.0 241.30562197211626 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.31124394423256
116 1.1 60.0 280.0 243.0068852671215 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.7137705342431
117 1.125 60.0 280.0 244.70824374201746 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.11648748403493
118 1.15 60.0 280.0 246.40951454820663 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.5190290964133
119 1.175 60.0 280.0 248.11087497682252 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92174995364513
120 1.2 60.0 280.0 249.81215189151203 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.3243037830241
121 1.225 60.0 280.0 251.51342880620152 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.72685761240308
122 1.25 60.0 280.0 253.21470572089103 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.12941144178208
123 1.275 60.0 280.0 254.91607539242588 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53215078485178
124 1.3 60.0 280.0 256.61735727487763 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.93471454975534
125 1.325 60.0 280.0 258.3186391573294 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.33727831465887
126 1.35 60.0 280.0 260.0199210397812 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.73984207956244
127 1.375 60.0 280.0 261.7212945173177 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 187.14258903463545
128 1.4 60.0 280.0 263.42258043982196 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 190.54516087964402
