# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
30 1.0 23.5 86.85113737513525 285.65945237315435 90.0 48.11140308495899 90.0 48.11140308495899 -48.11140308495899 -90.0 -48.11140308495899 -90.0 0.5 241.28158272501474 cooling
31 1.0 23.5 68.66488450043002 282.52457844413425 90.0 44.4270040008057 90.0 44.4270040008057 -44.4270040008057 -90.0 -44.4270040008057 -90.0 0.5 236.26885836161932 cooling
32 1.0 23.5 54.286754393238596 277.89574482853254 90.0 39.2964802391875 90.0 39.2964802391875 -39.2964802391875 -90.0 -39.2964802391875 -90.0 0.5 228.26821462506055 cooling
33 1.0 23.5 42.91934260128778 231.1885928306951 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1109341240304 cooling
34 1.0 23.5 33.93221771895328 230.56003848108216 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084891944915 cooling
35 1.0 23.5 26.826957952797258 229.93152670625003 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1108488644296 cooling
36 1.0 23.5 21.209508879201906 229.30301495890967 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439363 cooling
37 1.0 23.5 16.768329368110084 228.6745032115875 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439403 cooling
38 1.0 23.5 13.257113655901088 228.04599146426492 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439355 cooling
39 1.0 23.5 10.481131341546858 227.41747971694278 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.110848864394 cooling
40 1.0 23.5 8.286427728546844 226.78896796962016 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1108488643934 cooling
41 1.0 23.5 6.551285568595509 226.16045622229802 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439392 cooling
42 1.0 23.5 5.179474679231212 225.53194447497543 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439343 cooling
43 1.0 23.5 4.094915062380426 224.9034327276533 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439386 cooling
44 1.0 23.5 3.237457542817644 224.2749209803307 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439338 cooling
45 1.0 23.5 2.5595479226995357 223.64640923300857 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1108488643938 cooling
46 1.0 23.5 2.023589647725157 223.01789748568598 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1108488643933 cooling
47 1.0 23.5 1.599858719606058 222.3893857383638 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439377 cooling
48 1.0 23.5 1.2648552168552962 221.76087399104122 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439323 cooling
49 1.0 23.5 1.0 221.1323622437191 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.11084886439372 cooling
50 1.0 23.5 1.0 221.1324196309434 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1109636388423 warming
